Total Nacional	Comunidades y Ciudades Autónomas	Provincias	Comarcas	Tamaño de las explotaciones según UGT	Especies animales	Tipos de ganado	Tipos ganado bovino	Características básicas de la explotación	Tipo de dato	Total
Total Nacional	10 Comunitat Valenciana	12 Castellón/Castelló		Todas las explotaciones	2 Ovinos			Cabezas	Valor	110.180
Total Nacional	10 Comunitat Valenciana	12 Castellón/Castelló		Todas las explotaciones	4 Porcinos			Cabezas	Valor	758.160
Total Nacional	10 Comunitat Valenciana	12 Castellón/Castelló		Todas las explotaciones	5 Aves de corral			Cabezas	Valor	9.219.912
Total Nacional	10 Comunitat Valenciana	46 Valencia/València		Todas las explotaciones	1 Bovinos			Cabezas	Valor	23.865
Total Nacional	10 Comunitat Valenciana	46 Valencia/València		Todas las explotaciones	2 Ovinos			Cabezas	Valor	83.202
Total Nacional	10 Comunitat Valenciana	46 Valencia/València		Todas las explotaciones	4 Porcinos			Cabezas	Valor	565.594
Total Nacional	10 Comunitat Valenciana	46 Valencia/València		Todas las explotaciones	5 Aves de corral			Cabezas	Valor	9.400.421
Total Nacional	11 Extremadura			Todas las explotaciones	1 Bovinos			Cabezas	Valor	889.072
Total Nacional	11 Extremadura			Todas las explotaciones	2 Ovinos			Cabezas	Valor	3.834.066
Total Nacional	11 Extremadura			Todas las explotaciones	4 Porcinos			Cabezas	Valor	1.682.085
Total Nacional	11 Extremadura			Todas las explotaciones	5 Aves de corral			Cabezas	Valor	8.595.072
Total Nacional	11 Extremadura	06 Badajoz		Todas las explotaciones	1 Bovinos			Cabezas	Valor	324.882
Total Nacional	11 Extremadura	06 Badajoz		Todas las explotaciones	2 Ovinos			Cabezas	Valor	2.574.326
Total Nacional	11 Extremadura	06 Badajoz		Todas las explotaciones	4 Porcinos			Cabezas	Valor	1.478.735
Total Nacional	11 Extremadura	06 Badajoz		Todas las explotaciones	5 Aves de corral			Cabezas	Valor	5.470.918
Total Nacional	11 Extremadura	10 Cáceres		Todas las explotaciones	1 Bovinos			Cabezas	Valor	564.190
Total Nacional	11 Extremadura	10 Cáceres		Todas las explotaciones	2 Ovinos			Cabezas	Valor	1.259.740
Total Nacional	11 Extremadura	10 Cáceres		Todas las explotaciones	4 Porcinos			Cabezas	Valor	203.350
Total Nacional	11 Extremadura	10 Cáceres		Todas las explotaciones	5 Aves de corral			Cabezas	Valor	3.124.154
Total Nacional	12 Galicia			Todas las explotaciones	1 Bovinos			Cabezas	Valor	994.515
Total Nacional	12 Galicia			Todas las explotaciones	2 Ovinos			Cabezas	Valor	160.361
Total Nacional	12 Galicia			Todas las explotaciones	4 Porcinos			Cabezas	Valor	1.408.818
Total Nacional	12 Galicia			Todas las explotaciones	5 Aves de corral			Cabezas	Valor	24.825.124
Total Nacional	12 Galicia	15 Coruña, A		Todas las explotaciones	1 Bovinos			Cabezas	Valor	346.027
Total Nacional	12 Galicia	15 Coruña, A		Todas las explotaciones	2 Ovinos			Cabezas	Valor	28.194
Total Nacional	12 Galicia	15 Coruña, A		Todas las explotaciones	4 Porcinos			Cabezas	Valor	316.384
Total Nacional	12 Galicia	15 Coruña, A		Todas las explotaciones	5 Aves de corral			Cabezas	Valor	1.618.099
Total Nacional	12 Galicia	27 Lugo		Todas las explotaciones	1 Bovinos			Cabezas	Valor	477.247
Total Nacional	12 Galicia	27 Lugo		Todas las explotaciones	2 Ovinos			Cabezas	Valor	48.381
Total Nacional	12 Galicia	27 Lugo		Todas las explotaciones	4 Porcinos			Cabezas	Valor	254.777
Total Nacional	12 Galicia	27 Lugo		Todas las explotaciones	5 Aves de corral			Cabezas	Valor	6.473.339
Total Nacional	12 Galicia	32 Ourense		Todas las explotaciones	1 Bovinos			Cabezas	Valor	70.502
Total Nacional	12 Galicia	32 Ourense		Todas las explotaciones	2 Ovinos			Cabezas	Valor	62.106
Total Nacional	12 Galicia	32 Ourense		Todas las explotaciones	4 Porcinos			Cabezas	Valor	434.943
Total Nacional	12 Galicia	32 Ourense		Todas las explotaciones	5 Aves de corral			Cabezas	Valor	10.839.420
Total Nacional	12 Galicia	36 Pontevedra		Todas las explotaciones	1 Bovinos			Cabezas	Valor	100.738
Total Nacional	12 Galicia	36 Pontevedra		Todas las explotaciones	2 Ovinos			Cabezas	Valor	21.680
Total Nacional	12 Galicia	36 Pontevedra		Todas las explotaciones	4 Porcinos			Cabezas	Valor	402.713
Total Nacional	12 Galicia	36 Pontevedra		Todas las explotaciones	5 Aves de corral			Cabezas	Valor	5.894.266
Total Nacional	13 Madrid, Comunidad de			Todas las explotaciones	1 Bovinos			Cabezas	Valor	93.580
Total Nacional	13 Madrid, Comunidad de			Todas las explotaciones	2 Ovinos			Cabezas	Valor	82.652
Total Nacional	13 Madrid, Comunidad de			Todas las explotaciones	4 Porcinos			Cabezas	Valor	19.290
Total Nacional	13 Madrid, Comunidad de			Todas las explotaciones	5 Aves de corral			Cabezas	Valor	1.495.671
Total Nacional	13 Madrid, Comunidad de	28 Madrid		Todas las explotaciones	1 Bovinos			Cabezas	Valor	93.580
Total Nacional	13 Madrid, Comunidad de	28 Madrid		Todas las explotaciones	2 Ovinos			Cabezas	Valor	82.652
Total Nacional	13 Madrid, Comunidad de	28 Madrid		Todas las explotaciones	4 Porcinos			Cabezas	Valor	19.290
Total Nacional	13 Madrid, Comunidad de	28 Madrid		Todas las explotaciones	5 Aves de corral			Cabezas	Valor	1.495.671
Total Nacional	14 Murcia, Región de			Todas las explotaciones	1 Bovinos			Cabezas	Valor	78.133
Total Nacional	14 Murcia, Región de			Todas las explotaciones	2 Ovinos			Cabezas	Valor	612.592
Total Nacional	14 Murcia, Región de			Todas las explotaciones	4 Porcinos			Cabezas	Valor	2.366.928
Total Nacional	14 Murcia, Región de			Todas las explotaciones	5 Aves de corral			Cabezas	Valor	7.317.427
Total Nacional	14 Murcia, Región de	30 Murcia		Todas las explotaciones	1 Bovinos			Cabezas	Valor	78.133
Total Nacional	14 Murcia, Región de	30 Murcia		Todas las explotaciones	2 Ovinos			Cabezas	Valor	612.592
Total Nacional	14 Murcia, Región de	30 Murcia		Todas las explotaciones	4 Porcinos			Cabezas	Valor	2.366.928
Total Nacional	14 Murcia, Región de	30 Murcia		Todas las explotaciones	5 Aves de corral			Cabezas	Valor	7.317.427
Total Nacional	15 Navarra, Comunidad Foral de			Todas las explotaciones	1 Bovinos			Cabezas	Valor	124.536
Total Nacional	15 Navarra, Comunidad Foral de			Todas las explotaciones	2 Ovinos			Cabezas	Valor	466.650
Total Nacional	15 Navarra, Comunidad Foral de			Todas las explotaciones	4 Porcinos			Cabezas	Valor	827.530
Total Nacional	15 Navarra, Comunidad Foral de			Todas las explotaciones	5 Aves de corral			Cabezas	Valor	6.944.276
Total Nacional	15 Navarra, Comunidad Foral de	31 Navarra		Todas las explotaciones	1 Bovinos			Cabezas	Valor	124.536
